date,state,positive,negative,hospitalizedCurrently,inIcuCurrently,onVentilatorCurrently,death
2021-03-05,CO,434654.0,2193953.0,356.0,0.0,0.0,5986.0
2021-03-05,CT,285330.0,0.0,428.0,0.0,0.0,7704.0
2021-03-05,DC,41122.0,0.0,160.0,45.0,19.0,1027.0
2021-03-05,DE,87874.0,542791.0,127.0,15.0,0.0,1453.0
2021-03-05,FL,1900598.0,9296590.0,3419.0,0.0,0.0,32093.0
2021-03-05,GA,1019509.0,0.0,2099.0,0.0,0.0,17815.0
2021-03-05,GU,7748.0,112887.0,2.0,1.0,1.0,133.0
2021-03-05,HI,28561.0,0.0,28.0,5.0,3.0,443.0
2021-03-05,IA,281765.0,1041604.0,176.0,39.0,9.0,5549.0
2021-03-05,ID,172587.0,504925.0,139.0,32.0,0.0,1876.0
2021-03-05,IL,1194702.0,0.0,1166.0,263.0,121.0,22946.0
2021-03-05,IN,665285.0,2473358.0,730.0,123.0,64.0,12697.0
2021-03-05,KS,295861.0,974686.0,235.0,50.0,22.0,4812.0
2021-03-05,KY,409345.0,0.0,606.0,179.0,76.0,4754.0
2021-03-05,LA,433045.0,5241101.0,538.0,0.0,77.0,9716.0
2021-03-05,MA,588209.0,4388938.0,716.0,180.0,109.0,16322.0
2021-03-05,MD,385678.0,3024949.0,849.0,229.0,0.0,7930.0
2021-03-05,ME,45452.0,0.0,74.0,27.0,10.0,704.0
2021-03-05,MI,654380.0,0.0,866.0,222.0,97.0,16601.0
2021-03-05,MN,488170.0,3043308.0,224.0,57.0,0.0,6534.0
2021-03-05,MO,479966.0,1872325.0,1019.0,202.0,135.0,8158.0
2021-03-05,MP,144.0,17429.0,0.0,0.0,0.0,2.0
2021-03-05,MS,296745.0,1459374.0,445.0,99.0,53.0,6783.0
2021-03-05,MT,100656.0,0.0,67.0,12.0,7.0,1379.0
2021-03-05,NC,870149.0,0.0,1226.0,314.0,0.0,11446.0
2021-03-05,ND,100278.0,305910.0,22.0,3.0,0.0,1478.0
2021-03-05,NE,202310.0,769232.0,143.0,0.0,0.0,2112.0
2021-03-05,NH,76422.0,577690.0,90.0,0.0,0.0,1178.0
2021-03-05,NJ,806370.0,10186941.0,1881.0,389.0,223.0,23521.0
2021-03-05,NM,186460.0,0.0,183.0,0.0,0.0,3787.0
2021-03-05,NV,295460.0,1127378.0,393.0,88.0,49.0,5020.0
2021-03-05,NY,1666733.0,0.0,5034.0,1030.0,700.0,38891.0
2021-03-05,OH,976230.0,0.0,919.0,266.0,185.0,17656.0
2021-03-05,OK,427558.0,3135060.0,366.0,109.0,0.0,4534.0
2021-03-05,OR,156673.0,0.0,154.0,30.0,14.0,2284.0
2021-03-05,PA,944196.0,3926038.0,1587.0,325.0,173.0,24262.0
2021-03-05,PR,101066.0,305972.0,136.0,23.0,18.0,2056.0
2021-03-05,RI,128121.0,674515.0,141.0,25.0,16.0,2541.0
2021-03-05,SC,523258.0,4603549.0,664.0,163.0,88.0,8699.0
2021-03-05,SD,113229.0,313260.0,74.0,16.0,8.0,1896.0
2021-03-05,TN,780894.0,0.0,939.0,246.0,135.0,11534.0
2021-03-05,TX,2678295.0,0.0,5065.0,1530.0,0.0,44134.0
2021-03-05,UT,373868.0,1553533.0,238.0,85.0,0.0,1970.0
2021-03-05,VA,583060.0,0.0,1222.0,254.0,150.0,9428.0
2021-03-05,VI,2714.0,46167.0,0.0,0.0,0.0,25.0
2021-03-05,VT,15819.0,318720.0,26.0,4.0,0.0,207.0
2021-03-05,WA,343090.0,0.0,413.0,108.0,57.0,5032.0
2021-03-05,WI,620663.0,2642182.0,260.0,77.0,0.0,7094.0
2021-03-05,WV,132964.0,0.0,200.0,55.0,28.0,2318.0
2021-03-05,WY,54764.0,182264.0,21.0,0.0,0.0,682.0
2021-03-04,AK,56745.0,0.0,32.0,0.0,2.0,303.0
2021-03-04,AL,498076.0,1920535.0,544.0,0.0,0.0,10094.0
2021-03-04,AR,323756.0,2464286.0,397.0,165.0,91.0,5273.0
2021-03-04,AS,0.0,2140.0,0.0,0.0,0.0,0.0
2021-03-04,AZ,821108.0,3032112.0,1072.0,343.0,165.0,16185.0
2021-03-04,CA,3488467.0,0.0,4967.0,1327.0,0.0,53048.0
2021-03-04,CO,433021.0,2188741.0,355.0,0.0,0.0,5974.0
2021-03-04,CT,284500.0,0.0,433.0,0.0,0.0,7693.0
2021-03-04,DC,41014.0,0.0,170.0,49.0,18.0,1024.0
2021-03-04,DE,87643.0,541771.0,130.0,18.0,0.0,1444.0
2021-03-04,FL,1894722.0,9269680.0,3566.0,0.0,0.0,31955.0
2021-03-04,GA,1017428.0,0.0,2191.0,0.0,0.0,17750.0
2021-03-04,GU,7747.0,112349.0,5.0,1.0,1.0,131.0
2021-03-04,HI,28466.0,0.0,28.0,5.0,3.0,441.0
2021-03-04,IA,281391.0,1040055.0,184.0,39.0,11.0,5536.0
2021-03-04,ID,172288.0,503691.0,139.0,32.0,0.0,1876.0
2021-03-04,IL,1193260.0,0.0,1200.0,260.0,128.0,22902.0
2021-03-04,IN,664446.0,2468877.0,692.0,131.0,63.0,12663.0
2021-03-04,KS,295109.0,969651.0,203.0,59.0,23.0,4816.0
2021-03-04,KY,408440.0,0.0,645.0,172.0,91.0,4732.0
2021-03-04,LA,432527.0,5222458.0,554.0,0.0,74.0,9686.0
2021-03-04,MA,586310.0,4380031.0,741.0,168.0,100.0,16296.0
2021-03-04,MD,384765.0,3018120.0,856.0,216.0,0.0,7922.0
2021-03-04,ME,45227.0,0.0,69.0,23.0,8.0,705.0
2021-03-04,MI,652589.0,0.0,890.0,229.0,102.0,16589.0
2021-03-04,MN,487374.0,3035998.0,229.0,59.0,0.0,6521.0
2021-03-04,MO,479536.0,1868601.0,999.0,213.0,136.0,8150.0
2021-03-04,MP,144.0,17429.0,0.0,0.0,0.0,2.0
2021-03-04,MS,296154.0,1459374.0,448.0,101.0,62.0,6764.0
2021-03-04,MT,100531.0,0.0,73.0,14.0,7.0,1375.0
2021-03-04,NC,868056.0,0.0,1290.0,326.0,0.0,11399.0
2021-03-04,ND,100184.0,305598.0,22.0,3.0,0.0,1478.0
2021-03-04,NE,201973.0,768130.0,151.0,0.0,0.0,2092.0
2021-03-04,NH,76178.0,577245.0,92.0,0.0,0.0,1178.0
2021-03-04,NJ,802669.0,10096351.0,1900.0,376.0,214.0,23491.0
2021-03-04,NM,186156.0,0.0,177.0,0.0,0.0,3769.0
2021-03-04,NV,295069.0,1125254.0,407.0,97.0,47.0,5005.0
2021-03-04,NY,1657777.0,0.0,5177.0,1043.0,712.0,38796.0
2021-03-04,OH,974480.0,0.0,1009.0,270.0,196.0,17189.0
2021-03-04,OK,426641.0,3126761.0,404.0,118.0,0.0,4534.0
2021-03-04,OR,156287.0,0.0,165.0,37.0,12.0,2252.0
2021-03-04,PA,941439.0,3915271.0,1628.0,350.0,177.0,24219.0
2021-03-04,PR,100867.0,305972.0,171.0,23.0,19.0,2053.0
2021-03-04,RI,127727.0,673128.0,148.0,23.0,16.0,2539.0
2021-03-04,SC,521563.0,4578250.0,734.0,180.0,91.0,8660.0
2021-03-04,SD,113065.0,312421.0,87.0,17.0,10.0,1896.0
2021-03-04,TN,779449.0,0.0,970.0,258.0,127.0,11501.0
2021-03-04,TX,2671442.0,0.0,5263.0,1599.0,0.0,43878.0
